year,country,hivi,hivilo,hivihi,hivp,hivplo,hivphi
1990,ZA,0.2,0.2,0.3,0.5,0.4,0.7
1991,ZA,0.3,0.3,0.4,0.8,0.6,1
1992,ZA,0.6,0.5,0.6,1.3,1.1,1.6
1993,ZA,0.9,0.8,1,2.1,1.8,2.4
1994,ZA,1.3,1.2,1.5,3.3,2.9,3.6
1995,ZA,1.9,1.7,2.1,4.9,4.4,5.3
1996,ZA,2.5,2.2,2.7,6.9,6.4,7.5
1997,ZA,2.9,2.6,3.2,9.2,8.5,9.9
1998,ZA,3.1,2.8,3.3,11.4,10.6,12.3
1999,ZA,3,2.8,3.2,13.3,12.4,14.2
2000,ZA,2.7,2.5,2.9,14.8,14,15.7
2001,ZA,2.4,2.2,2.6,15.9,15.1,16.8
2002,ZA,2.2,2,2.4,16.6,15.8,17.4
2003,ZA,2,1.8,2.2,17,16.2,17.8
2004,ZA,1.8,1.7,2,17.2,16.4,18
2005,ZA,1.8,1.6,1.9,17.3,16.5,18
2006,ZA,1.7,1.6,1.9,17.3,16.5,18
2007,ZA,1.7,1.5,1.8,17.2,16.5,18
2008,ZA,1.6,1.5,1.8,17.2,16.4,18
2009,ZA,1.6,1.4,1.7,17.2,16.4,18
2010,ZA,1.5,1.4,,17.3,16.5,18
2011,ZA,1.4,1,,17.3,16.6,18.1
1990,ZM,2.3,2.1,2.5,13.8,12.3,15.8
1991,ZM,2.2,2,2.4,14.4,13,16
1992,ZM,2,1.8,2.3,14.7,13.4,16.1
1993,ZM,1.8,1.6,2.1,14.9,13.6,16
1994,ZM,1.7,1.5,2,14.8,13.7,15.8
1995,ZM,1.7,1.5,2,14.8,13.7,15.6
1996,ZM,1.7,1.5,1.9,14.6,13.6,15.6
1997,ZM,1.7,1.5,2,14.5,13.6,15.5
1998,ZM,1.8,1.6,2,14.5,13.5,15.5
1999,ZM,1.8,1.6,2,14.4,13.5,15.4
2000,ZM,1.9,1.7,2,14.4,13.5,15.4
2001,ZM,1.9,1.7,2.1,14.4,13.5,15.4
2002,ZM,1.8,1.6,2,14.4,13.5,15.3
2003,ZM,1.8,1.6,1.9,14.3,13.5,15.2
2004,ZM,1.6,1.4,1.8,14.2,13.3,14.9
2005,ZM,1.4,1.3,1.6,13.9,13.1,14.7
2006,ZM,1.3,1.1,1.5,13.6,12.8,14.4
2007,ZM,1.2,1,1.4,13.3,12.6,14.1
2008,ZM,1,0.8,1.3,13.1,12.3,13.9
2009,ZM,1,0.8,1.3,12.9,12.1,13.8
2010,ZM,0.9,0.7,,12.7,11.9,13.8
2011,ZM,0.8,,,12.5,11.7,13.8
1990,ZW,3.8,3.4,4.1,13.6,11.7,15.4
1991,ZW,4,3.7,4.4,15.9,14,17.4
1992,ZW,4.4,4,4.8,18.3,16.6,19.5
1993,ZW,5,4.5,5.4,20.8,19.1,21.8
1994,ZW,5.3,4.8,5.8,23.2,21.5,24.4
1995,ZW,5,4.6,5.4,25,23.4,26.4
1996,ZW,4.7,4.4,5.1,26.2,24.6,27.6
1997,ZW,4.4,4.1,4.8,27,25.6,28.5
1998,ZW,4,3.7,4.3,27.3,25.8,28.6
1999,ZW,3.3,3,3.6,27,25.7,28.2
2000,ZW,2.6,2.3,3,26.2,24.9,27.3
2001,ZW,2.1,1.9,2.4,25,23.8,26
2002,ZW,1.9,1.7,2.1,23.6,22.5,24.5
2003,ZW,1.6,1.4,1.8,22.2,21.1,23
2004,ZW,1.5,1.3,1.7,20.7,19.7,21.4
2005,ZW,1.5,1.3,1.6,19.3,18.4,20
2006,ZW,1.4,1.3,1.6,18.1,17.3,18.8
2007,ZW,1.4,1.3,1.6,17.1,16.4,17.7
2008,ZW,1.4,1.3,1.7,16.3,15.6,16.9
2009,ZW,1.4,1.2,1.6,15.7,15.1,16.3
2010,ZW,1.3,1.1,,15.2,14.6,15.9
2011,ZW,1.1,,,14.9,14.3,15.7
